yob1,W_HO_PTA_m_SB,UW_HO_PTA_m_SB,T_W_HO_PTA_m_SB,T_UW_HO_PTA_m_SB,HO_ptam_RegCow_1,W_HO_SD_m_SB,W_BY1_HO_SD_m_SB,UW_HO_SD_m_SB,UW_BY1_HO_SD_m_SB,T_W_HO_SD_m_SB,T_UW_HO_SD_m_SB,W_BY1_HO_PTA_m_SB,HO_ptam_RegCow_4,W_HO_REL_m_SB,UW_HO_REL_m_SB,T_W_HO_REL_m_SB,T_UW_HO_REL_m_SB,W_BY1_HO_REL_m_SB,W_HO_NUM_PTA_SB,UW_HO_NUM_PTA_SB,T_W_HO_NUM_PTA_SB,T_UW_HO_NUM_PTA_SB,W_BY1_HO_NUM_PTA_SB,yob2,W_HO_PTA_m_SC,UW_HO_PTA_m_SC,T_W_HO_PTA_m_SC,T_UW_HO_PTA_m_SC,HO_ptam_RegCow_2,W_HO_SD_m_SC,W_BY1_HO_SD_m_SC,UW_HO_SD_m_SC,UW_BY1_HO_SD_m_SC,T_W_HO_SD_m_SC,T_UW_HO_SD_m_SC,W_BY1_HO_PTA_m_SC,HO_ptam_RegCow_5,W_HO_REL_m_SC,UW_HO_REL_m_SC,T_W_HO_REL_m_SC,T_UW_HO_REL_m_SC,W_BY1_HO_REL_m_SC,W_HO_NUM_PTA_SC,UW_HO_NUM_PTA_SC,T_W_HO_NUM_PTA_SC,T_UW_HO_NUM_PTA_SC,W_BY1_HO_NUM_PTA_SC,yob3,W_HO_PTA_m_DB,UW_HO_PTA_m_DB,T_W_HO_PTA_m_DB,T_UW_HO_PTA_m_DB,HO_ptam_RegCow_3,W_HO_SD_m_DB,W_BY1_HO_SD_m_DB,UW_HO_SD_m_DB,UW_BY1_HO_SD_m_DB,T_W_HO_SD_m_DB,T_UW_HO_SD_m_DB,W_BY1_HO_PTA_m_DB,HO_ptam_RegCow_6,W_HO_REL_m_DB,UW_HO_REL_m_DB,T_W_HO_REL_m_DB,T_UW_HO_REL_m_DB,W_BY1_HO_REL_m_DB,W_HO_NUM_PTA_DB,UW_HO_NUM_PTA_DB,T_W_HO_NUM_PTA_DB,T_UW_HO_NUM_PTA_DB,W_BY1_HO_NUM_PTA_DB,yob4,W_HO_PTA_m_DC,UW_HO_PTA_m_DC,T_W_HO_PTA_m_DC,T_UW_HO_PTA_m_DC,HO_ptam_AllCow_1,W_HO_SD_m_DC,W_BY1_HO_SD_m_DC,UW_HO_SD_m_DC,UW_BY1_HO_SD_m_DC,T_W_HO_SD_m_DC,T_UW_HO_SD_m_DC,W_BY1_HO_PTA_m_DC,HO_ptam_AllCow_2,W_HO_REL_m_DC,UW_HO_REL_m_DC,T_W_HO_REL_m_DC,T_UW_HO_REL_m_DC,W_BY1_HO_REL_m_DC,W_HO_NUM_PTA_DC,UW_HO_NUM_PTA_DC,T_W_HO_NUM_PTA_DC,T_UW_HO_NUM_PTA_DC,W_BY1_HO_NUM_PTA_DC,yob5,W_BY1_HO_SD_m_SB_1,W_BY1_HO_SD_m_SC_1,W_BY1_HO_SD_m_DB_1,W_BY1_HO_SD_m_DC_1,W_HO_SD_m_SB_1,W_HO_SD_m_SC_1,W_HO_SD_m_DB_1,W_HO_SD_m_DC_1,UW_BY1_HO_SD_m_SB_1,UW_BY1_HO_SD_m_SC_1,UW_BY1_HO_SD_m_DB_1,UW_BY1_HO_SD_m_DC_1,UW_HO_SD_m_SB_1,UW_HO_SD_m_SC_1,UW_HO_SD_m_DB_1,UW_HO_SD_m_DC_1,T_W_HO_SD_m_SB_1,T_W_HO_SD_m_SC_1,T_W_HO_SD_m_DB_1,T_W_HO_SD_m_DC_1,yob6,GenInt_SB,GenInt_SC,GenInt_DB,GenInt_DC,nGI_SB,nGI_SC,nGI_DB,nGI_DC,yob7,UW_BY1_HO_PTA_m_SB,HO_ptam_RegCow_7,HO_numm_RegCow,HO_ptam_AllCow_3,HO_numm_AllCow
1985,-774.7090823,-1288.695712,-774.7090823,-1288.695712,-1687.778593,913.0695104,775.6503787,399.0828807,302.238132,913.0695104,399.0828807,-1340.022314,-1687.778593,0.985345048,0.913216114,0.985345048,0.913216114,0.983000343,7139,171,7139,171,1733,1985,-984.9256478,-1548.366451,-984.5197697,-1548.366451,-1687.778593,702.8529446,571.9648373,139.412142,82.02655912,703.2588228,139.412142,-1496.302698,-1687.778593,0.960125281,0.782202992,0.960166688,0.782202992,0.953458884,698430,3218,697712,3218,572055,1985,-1569.757465,-1683.247358,-1569.757465,-1683.247358,-1687.778593,118.0211276,319.8816674,4.531234618,191.5848828,118.0211276,4.531234618,-1665.00546,-1687.778593,44.96072079,38.54413329,44.96072079,38.54413329,67.65385879,4939,2821,4939,2821,3045,1985,-1760.220642,-1795.978858,-1760.21958,-1795.976807,-1831.831748,71.6111059,71.66879995,35.85288932,36.78320736,71.61216722,35.85494054,-2077.408499,-1831.831748,45.41202046,42.65041032,45.41183101,42.6503716,44.52896365,634335,379708,634316,379706,611318,1985,775.6503787,571.9648373,319.8816674,71.66879995,913.0695104,702.8529446,118.0211276,71.6111059,302.238132,82.02655912,191.5848828,36.78320736,399.0828807,139.412142,4.531234618,35.85288932,913.0695104,703.2588228,118.0211276,71.61216722,1985,7.801839953,7.068774903,5.316023283,4.212772538,1733,572055,3045,611318,1985,-1700.713092,-1687.778593,12404,-1831.831748,784506
1986,-839.3635471,-1157.825324,-839.4606406,-1157.825324,-1560.337251,720.9737044,722.0825949,402.5119275,198.6551697,720.8766108,402.5119275,-1359.93821,-1560.337251,0.976177891,0.898230209,0.976176507,0.898230209,0.98342239,9982,243,9981,243,4517,1986,-802.5839079,-1463.737226,-803.1306531,-1463.60953,-1560.337251,757.7533436,620.4307825,96.60002592,102.3442866,757.2065983,96.72772115,-1411.173706,-1560.337251,0.965621841,0.789964618,0.965616582,0.790012323,0.95750142,911549,3983,910364,3982,635634,1986,-1372.652971,-1572.257914,-1372.652971,-1572.257914,-1560.337251,187.6842802,20.28114118,-11.9206623,-100.909896,187.6842802,-11.9206623,-1916.127332,-1560.337251,52.94081835,40.55334324,52.94081835,40.55334324,45.43584416,7063,3365,7063,3365,5775,1986,-1678.694114,-1717.858167,-1678.689236,-1717.856333,-1751.536347,72.84223375,74.10890114,33.67818041,36.51912919,72.84711208,33.68001511,-2003.920827,-1751.536347,45.69971529,42.88276937,45.69965843,42.88299096,45.01084807,640289,387049,640271,387047,623429,1986,722.0825949,620.4307825,20.28114118,74.10890114,720.9737044,757.7533436,187.6842802,72.84223375,198.6551697,102.3442866,-100.909896,36.51912919,402.5119275,96.60002592,-11.9206623,33.67818041,720.8766108,757.2065983,187.6842802,72.84711208,1986,7.97950582,7.192517982,5.403794946,4.260143557,4517,635634,5775,623429,1986,-1767.635066,-1560.337251,13098,-1751.536347,791825
1987,-714.3452692,-1181.591144,-714.2610215,-1181.591144,-1497.054668,782.7093992,740.3240058,315.4635239,210.7641283,782.7936469,315.4635239,-1311.212882,-1497.054668,0.971814413,0.897646792,0.971808993,0.897646792,0.981808598,3356,187,3355,187,4959,1987,-771.0105127,-1402.100191,-770.506913,-1401.868052,-1497.054668,726.0441557,645.7878956,94.95447724,121.6025497,726.5477553,95.18661625,-1341.871663,-1497.054668,0.954728887,0.789902079,0.954725504,0.789953469,0.958903987,618323,3890,617551,3888,702162,1987,-1468.164317,-1580.245848,-1468.164317,-1580.245848,-1497.054668,28.89035124,55.68186177,-83.19117966,-78.975591,28.89035124,-83.19117966,-1828.751179,-1497.054668,41.62530459,34.82746011,41.62530459,34.82746011,45.92596349,5335,3008,5335,3008,5916,1987,-1619.389157,-1651.633142,-1619.387018,-1651.627476,-1684.114447,64.72529045,73.62613761,32.48130482,37.21054836,64.72742875,32.4869714,-1929.001727,-1684.114447,45.37531929,42.88450512,45.3751208,42.88488789,45.163068,649876,401126,649844,401122,646258,1987,740.3240058,645.7878956,55.68186177,73.62613761,782.7093992,726.0441557,28.89035124,64.72529045,210.7641283,121.6025497,-78.975591,37.21054836,315.4635239,94.95447724,-83.19117966,32.48130482,782.7936469,726.5477553,28.89035124,64.72742875,1987,8.32614544,7.236895337,5.465756734,4.258383161,4959,702162,5916,646258,1987,-1713.275631,-1497.054668,13196,-1684.114447,821720
1988,-690.2811962,-1099.145031,-689.9804487,-1099.145031,-1443.060686,752.7794897,786.357071,343.915655,340.0302665,753.0802373,343.915655,-1199.075665,-1443.060686,0.966958435,0.882755318,0.967016427,0.882755318,0.979574892,5639,225,5638,225,5837,1988,-688.7161968,-1337.87665,-688.3947246,-1337.87665,-1443.060686,754.3444891,662.2862941,105.1840355,93.08150498,754.6659614,105.1840355,-1267.539451,-1443.060686,0.949483656,0.795278293,0.949477359,0.795278293,0.961130472,551288,4075,550711,4075,750960,1988,-1301.586444,-1466.576544,-1301.586444,-1466.576544,-1443.060686,141.4742424,100.7490927,-23.51585825,-37.28029679,141.4742424,-23.51585825,-1714.935144,-1443.060686,44.73612269,36.26086957,44.73612269,36.26086957,47.8115942,5999,3220,5999,3220,6348,1988,-1542.668114,-1575.413916,-1542.653265,-1575.410139,-1605.007726,62.33961295,75.09886996,29.59381074,36.34897242,62.35446181,29.59758778,-1850.386617,-1605.007726,45.47960675,42.90443744,45.47956854,42.90459247,45.38626276,658723,409763,658690,409758,660540,1988,786.357071,662.2862941,100.7490927,75.09886996,752.7794897,754.3444891,141.4742424,62.33961295,340.0302665,93.08150498,-37.28029679,36.34897242,343.915655,105.1840355,-23.51585825,29.59381074,753.0802373,754.6659614,141.4742424,62.35446181,1988,8.260287198,7.359095574,5.386598074,4.252856184,5837,750960,6348,660540,1988,-1505.661269,-1443.060686,15261,-1605.007726,842526
1989,-251.2145743,-1019.672145,-251.2145743,-1019.672145,-1386.38864,1135.174065,854.5770149,366.7164943,404.002665,1135.174065,366.7164943,-1080.448544,-1386.38864,0.973726426,0.902702459,0.973726426,0.902702459,0.983955811,7932,259,7932,259,6097,1989,-503.5895941,-1247.563731,-503.5360605,-1247.563731,-1386.38864,882.7990454,693.4918048,138.8249081,114.1053302,882.8525788,138.8249081,-1168.9843,-1386.38864,0.959618183,0.802426778,0.959628594,0.802426778,0.960700246,718791,4042,718179,4042,768337,1989,-1257.794951,-1381.905548,-1257.794951,-1381.905548,-1386.38864,128.5936887,126.8267691,4.483091328,-25.21139312,128.5936887,4.483091328,-1620.126158,-1386.38864,41.69948354,34.16889535,41.69948354,34.16889535,48.82402065,6196,3440,6196,3440,6586,1989,-1456.499916,-1487.394589,-1456.483852,-1487.393477,-1515.791787,59.29187153,73.96383507,28.39719897,38.90366237,59.30793548,28.39830972,-1773.61041,-1515.791787,45.7682931,43.25227287,45.76814252,43.25249113,45.53561706,641936,403234,641890,403230,660119,1989,854.5770149,693.4918048,126.8267691,73.96383507,1135.174065,882.7990454,128.5936887,59.29187153,404.002665,114.1053302,-25.21139312,38.90366237,366.7164943,138.8249081,4.483091328,28.39719897,1135.174065,882.8525788,128.5936887,59.30793548,1989,8.401113327,7.366245841,5.364095286,4.214782239,6097,768337,6586,660119,1989,-1374.355805,-1386.38864,18445,-1515.791787,847106
1990,-590.6958373,-921.4900808,-590.3828805,-916.0289285,-1332.586469,741.8906319,804.2633137,411.0963881,315.0784022,742.2035888,416.5575404,-1040.024303,-1332.586469,0.971743638,0.906363383,0.971774209,0.906843853,0.986029109,5677,264,5675,263,6271,1990,-601.8211731,-1196.380838,-601.7019844,-1196.380838,-1332.586469,730.7652961,697.6270444,136.2056311,108.8345251,730.8844849,136.2056311,-1104.73429,-1332.586469,0.959405799,0.809189025,0.959386443,0.809189025,0.96142063,722404,4058,720965,4058,801030,1990,-1168.224611,-1303.159932,-1168.224611,-1303.159932,-1332.586469,164.3618583,133.9721472,29.42653685,-24.69447973,164.3618583,29.42653685,-1535.128964,-1332.586469,43.19684362,33.58002774,43.19684362,33.58002774,48.44495143,6970,3605,6970,3605,6794,1990,-1387.740197,-1416.689545,-1387.737119,-1416.687306,-1443.969227,56.22903102,72.11888507,27.27968236,36.95673115,56.23210857,27.28192245,-1699.710523,-1443.969227,45.99347658,43.39488302,45.99324585,43.3952749,45.50522093,643374,406685,643308,406679,676221,1990,804.2633137,697.6270444,133.9721472,72.11888507,741.8906319,730.7652961,164.3618583,56.22903102,315.0784022,108.8345251,-24.69447973,36.95673115,411.0963881,136.2056311,29.42653685,27.27968236,742.2035888,730.8844849,164.3618583,56.23210857,1990,7.855125301,7.346945483,5.22696376,4.206733932,6271,801030,6794,676221,1990,-1405.724464,-1332.586469,23216,-1443.969227,872685
1991,-296.7327643,-805.4457727,-296.8103062,-805.4457727,-1230.930148,934.1973832,863.3337217,425.4843748,301.6352848,934.1198414,425.4843748,-899.0136897,-1230.930148,0.974017022,0.902310215,0.974013529,0.902310215,0.983434637,9153,277,9151,277,6533,1991,-449.6255896,-1081.844754,-449.5843409,-1081.844754,-1230.930148,781.3045579,740.8007498,149.0853933,115.9417205,781.3458066,149.0853933,-1007.064567,-1230.930148,0.962980637,0.814361328,0.962980159,0.814361328,0.962257958,800428,3955,799080,3955,809973,1991,-1103.63675,-1232.789007,-1103.74136,-1232.789007,-1230.930148,127.2933975,126.0249136,-1.858859309,-14.71013988,127.1887872,-1.858859309,-1457.293684,-1230.930148,38.58545455,30.59880096,38.57820078,30.59880096,46.70713049,8250,4170,8248,4170,6928,1991,-1299.379246,-1327.002352,-1299.376129,-1327.002959,-1355.945957,56.56671127,70.95181981,28.94360461,34.69049892,56.56982786,28.94299809,-1620.086393,-1355.945957,46.3120223,43.7112052,46.31112674,43.71105853,45.46800198,634413,403643,634301,403625,683386,1991,863.3337217,740.8007498,126.0249136,70.95181981,934.1973832,781.3045579,127.2933975,56.56671127,301.6352848,115.9417205,-14.71013988,34.69049892,425.4843748,149.0853933,-1.858859309,28.94360461,934.1198414,781.3458066,127.1887872,56.56982786,1991,7.473919017,7.331111985,4.989462357,4.173388305,6533,809973,6928,683386,1991,-1328.051068,-1230.930148,22766,-1355.945957,875017
1992,-362.2712556,-846.5661905,-362.0840057,-846.5661905,-1140.597442,778.3261861,857.3628541,294.0312512,380.6442333,778.5134359,294.0312512,-845.7178908,-1140.597442,0.960666136,0.882724119,0.960661792,0.882724119,0.979651446,6753,312,6752,312,7005,1992,-493.9122527,-1001.504582,-492.6609281,-1001.61102,-1140.597442,646.685189,766.5526703,139.0928597,121.6164222,647.9365136,138.9864221,-910.7737161,-1140.597442,0.953671465,0.813668604,0.953637355,0.81370329,0.961481636,631466,4143,629338,4142,801200,1992,-964.0413624,-1131.257313,-964.0413624,-1131.257313,-1140.597442,176.5560792,151.5477384,9.340127982,-1.083210821,176.5560792,9.340127982,-1344.462149,-1140.597442,42.00583959,31.19778282,42.00583959,31.19778282,45.84262701,8391,3969,8391,3969,7263,1992,-1212.289977,-1238.867077,-1212.282165,-1238.871013,-1267.349972,55.0599948,68.51008668,28.48289542,34.03768402,55.06780723,28.47895991,-1540.940651,-1267.349972,46.67424619,44.00035226,46.67352112,44.00056831,45.52400694,610900,388923,610698,388876,679970,1992,857.3628541,766.5526703,151.5477384,68.51008668,778.3261861,646.685189,176.5560792,55.0599948,380.6442333,121.6164222,-1.083210821,34.03768402,294.0312512,139.0928597,9.340127982,28.48289542,778.5134359,647.9365136,176.5560792,55.06780723,1992,7.766364204,7.237419955,4.686025567,4.129426739,7005,801200,7263,679970,1992,-1155.952939,-1140.597442,21594,-1267.349972,863585
1993,-352.0687227,-769.5108432,-352.2065608,-769.5108432,-1077.79774,725.7290175,774.4123393,308.2868969,402.8396733,725.5911794,308.2868969,-845.1257243,-1077.79774,0.954905102,0.88438793,0.954940815,0.88438793,0.976263138,4332,237,4327,237,6918,1993,-460.2329227,-950.7733492,-459.1077807,-950.6906403,-1077.79774,617.5648175,766.8105761,127.0243909,128.0079236,618.6899594,127.1070998,-827.5200099,-1077.79774,0.949273877,0.814389522,0.949164446,0.814400672,0.962872144,512195,3982,509262,3981,788609,1993,-999.2787165,-1110.506606,-999.2755904,-1110.506606,-1077.79774,78.51902348,144.1973075,-32.70886579,15.64721263,78.52214975,-32.70886579,-1271.92646,-1077.79774,36.48847771,30.61097334,36.47897039,30.61097334,43.03498584,5945,3226,5944,3226,7060,1993,-1135.649515,-1158.982205,-1135.667522,-1158.996825,-1186.459384,50.80986835,67.65516601,27.47717895,34.02583742,50.79186214,27.46255867,-1459.734721,-1186.459384,46.73400573,44.20108545,46.73173432,44.20207392,45.56199131,578629,370723,578188,370602,671941,1993,774.4123393,766.8105761,144.1973075,67.65516601,725.7290175,617.5648175,78.51902348,50.80986835,402.8396733,128.0079236,15.64721263,34.02583742,308.2868969,127.0243909,-32.70886579,27.47717895,725.5911794,618.6899594,78.52214975,50.79186214,1993,7.674580037,7.189384245,4.506363176,4.097113885,6918,788609,7060,671941,1993,-1071.246732,-1077.79774,21387,-1186.459384,847107
1994,-56.22726349,-595.8039543,-55.03616668,-597.4956648,-1013.140653,956.9133891,790.5351673,417.3366983,391.2897139,958.1044859,415.6449878,-755.5134491,-1013.140653,0.9696116,0.898235047,0.969578528,0.898262047,0.97312936,9326,306,9306,305,7477,1994,-349.2594659,-859.2531998,-347.9617267,-859.2531998,-1013.140653,663.8811867,777.580214,153.8874528,154.5550131,665.1789259,153.8874528,-740.3787757,-1013.140653,0.968139053,0.817983798,0.967936852,0.817983798,0.96175117,913718,3884,902954,3884,779851,1994,-786.8446304,-933.2462017,-786.9250951,-933.2462017,-1013.140653,226.2960222,135.7023767,79.89445079,-4.643511654,226.2155574,79.89445079,-1199.408838,-1013.140653,43.58067602,34.31458202,43.56324773,34.31458202,40.80099369,6272,3182,6269,3182,7447,1994,-1051.450108,-1074.663616,-1051.399691,-1074.636883,-1102.483635,51.03352633,65.61822672,27.82001871,33.48579401,51.08394318,27.84675211,-1377.517903,-1102.483635,47.32111975,44.77203092,47.31484466,44.7733724,45.97416958,562270,359211,561569,359056,661081,1994,790.5351673,777.580214,135.7023767,65.61822672,956.9133891,663.8811867,226.2960222,51.03352633,391.2897139,154.5550131,-4.643511654,33.48579401,417.3366983,153.8874528,79.89445079,27.82001871,958.1044859,665.1789259,226.2155574,51.08394318,1994,7.648676292,7.232860414,4.409775785,4.080280259,7477,779851,7447,661081,1994,-1005.167059,-1013.140653,21950,-1102.483635,835165
1995,-51.91833969,-547.2624624,-52.97631225,-547.2624624,-968.0000889,916.081749,926.9297626,420.7376263,384.9963681,915.0237764,420.7376263,-545.8878451,-968.0000889,0.964966173,0.883803784,0.964883477,0.883803784,0.974586271,7742,347,7697,347,7594,1995,-129.3059631,-711.5965439,-131.7001831,-711.7806305,-968.0000889,838.6941256,785.1721881,256.4035448,127.7036733,836.2999055,256.2194582,-666.0237287,-968.0000889,0.968594954,0.829580718,0.968396477,0.829594126,0.960369507,837315,3699,826333,3698,752374,1995,-699.4544507,-857.4725611,-699.3206273,-857.5949946,-968.0000889,268.545638,132.8512353,110.5275276,9.128112372,268.6794614,110.4050941,-1125.582561,-968.0000889,39.41894977,30.81943629,39.3854613,30.79788484,38.87159121,7008,3406,7002,3404,7554,1995,-979.0948413,-999.6353,-979.0995895,-999.6001702,-1024.440191,45.34534942,61.54028633,24.8048909,31.62153356,45.34060156,24.8400205,-1297.971423,-1024.440191,47.72782518,45.21288547,47.71466367,45.21824141,46.11288724,550602,351062,549576,350850,637840,1995,926.9297626,785.1721881,132.8512353,61.54028633,916.081749,838.6941256,268.545638,45.34534942,384.9963681,127.7036733,9.128112372,31.62153356,420.7376263,256.4035448,110.5275276,24.8048909,915.0237764,836.2999055,268.6794614,45.34060156,1995,7.382460702,7.233703165,4.380727618,4.067073005,7594,752374,7554,637840,1995,-955.3390867,-968.0000889,24408,-1024.440191,806020
1996,-55.93308274,-472.3178463,-55.26278364,-468.9914186,-926.3077888,870.3747065,914.7807453,453.9899429,344.9261182,871.0450056,457.3163706,-473.7371256,-926.3077888,0.957269316,0.888804087,0.957303798,0.889127012,0.969849828,6032,276,6009,275,7804,1996,-47.36343627,-654.9592265,-55.81580657,-654.8797107,-926.3077888,878.944353,786.3100144,271.3485628,144.466029,870.4919827,271.4280785,-580.3176143,-926.3077888,0.96962983,0.830361369,0.969171731,0.830410593,0.960393255,826436,3512,804227,3505,703508,1996,-623.2613808,-776.7411097,-623.3946266,-776.7411097,-926.3077888,303.0464085,157.4363146,149.5666796,-1.185872526,302.9131626,149.5666796,-1029.574438,-926.3077888,41.7548396,30.84116265,41.73965398,30.84116265,40.21802664,7232,3406,7225,3406,7733,1996,-892.558995,-913.6788455,-892.1556172,-913.6314116,-939.4306316,46.87163701,59.67098465,25.75178611,31.33945902,47.27501489,25.79922041,-1215.661178,-939.4306316,48.28669966,45.7425259,48.25171131,45.75307312,46.70260698,541490,340877,539499,340534,588689,1996,914.7807453,786.3100144,157.4363146,59.67098465,870.3747065,878.944353,303.0464085,46.87163701,344.9261182,144.466029,-1.185872526,31.33945902,453.9899429,271.3485628,149.5666796,25.75178611,871.0450056,870.4919827,302.9131626,47.27501489,1996,7.067116637,6.878413192,4.424665334,4.070234152,7804,703508,7733,588689,1996,-923.7143137,-926.3077888,33952,-939.4306316,745454
1997,-6.297108321,-465.3625848,-3.239807172,-461.2336568,-842.3163246,836.0192163,862.5186469,376.9537398,428.9202511,839.0765175,381.0826678,-429.8514047,-842.3163246,0.960126958,0.885526909,0.959791032,0.885768982,0.970459791,8648,313,8432,312,7956,1997,-40.10522461,-579.5087114,-45.11257983,-579.5591994,-842.3163246,802.2111,798.3620268,262.8076131,183.7368852,797.2037448,262.7571253,-496.9390596,-842.3163246,0.970620328,0.833107,0.969744659,0.833107857,0.963112855,851054,3627,808752,3626,701169,1997,-553.8561579,-704.4919594,-553.5611521,-703.4709721,-842.3163246,288.4601667,190.9416743,137.8243652,62.96203995,288.7551725,138.8453526,-923.2327092,-842.3163246,44.80767369,31.71644514,44.66075334,31.65857479,39.68410283,8262,3837,8230,3831,7819,1997,-809.6746361,-831.3024383,-809.638737,-831.3114755,-858.46859,48.7939539,57.42416499,27.16615175,29.4821472,48.82985297,27.15711443,-1137.334296,-858.46859,48.90481786,46.29233634,48.86165639,46.30240522,47.00419989,556533,345879,553383,345457,581444,1997,862.5186469,798.3620268,190.9416743,57.42416499,836.0192163,802.2111,288.4601667,48.7939539,428.9202511,183.7368852,62.96203995,29.4821472,376.9537398,262.8076131,137.8243652,27.16615175,839.0765175,797.2037448,288.7551725,48.82985297,1997,6.739327079,6.774074455,4.341698065,4.087006665,7956,701169,7819,581444,1997,-751.5312375,-842.3163246,97051,-858.46859,741224
1998,58.49050816,-395.6928524,55.27182777,-386.5192273,-775.946303,834.4368112,889.7009176,380.2534507,458.8191764,831.2181308,389.4270758,-319.7064154,-775.946303,0.963333913,0.877831065,0.962947147,0.877862642,0.966726399,8059,249,7851,248,7726,1998,-25.0382878,-491.2618481,-37.42779063,-490.5212543,-775.946303,750.9080152,799.8971274,284.6844549,258.7734739,738.5185124,285.4250487,-425.0476855,-775.946303,0.964253434,0.828729245,0.962204019,0.828888947,0.964062782,741010,3597,681932,3592,689547,1998,-469.5622499,-599.8705979,-472.9166251,-599.7220286,-775.946303,306.3840531,243.5844348,176.0757051,108.8092446,303.0296779,176.2242745,-799.467369,-775.946303,40.50284943,30.89022248,40.20145081,30.80404811,40.4198946,6668,3416,6617,3409,7590,1998,-737.2794322,-754.930181,-737.104144,-754.8515187,-782.2636272,44.98419506,55.64532863,27.33344623,30.2574047,45.15948323,27.41210851,-1054.726995,-782.2636272,49.05605836,46.69204931,49.00767926,46.70838246,47.32010625,550248,342360,545756,341821,560214,1998,889.7009176,799.8971274,243.5844348,55.64532863,834.4368112,750.9080152,306.3840531,44.98419506,458.8191764,258.7734739,108.8092446,30.2574047,380.2534507,284.6844549,176.0757051,27.33344623,831.2181308,738.5185124,303.0296779,45.15948323,1998,6.768213786,6.787856977,4.173958494,4.058414228,7726,689547,7590,560214,1998,-653.6443615,-775.946303,177875,-782.2636272,725459
1999,-7.034258501,-406.3986931,-41.78285771,-398.6590941,-720.6356187,713.6013602,866.9052722,314.2369256,415.9023728,678.852761,321.9765246,-279.5857908,-720.6356187,0.973918318,0.897698852,0.972377167,0.897901522,0.965480958,6214,226,5527,224,7367,1999,-44.22318599,-423.4724952,-60.69729428,-423.5385072,-720.6356187,676.4124327,783.3565404,297.1631235,246.0916131,659.9383244,297.0971114,-373.6432746,-720.6356187,0.969357317,0.833789028,0.965258207,0.834028214,0.964592114,840096,3246,690741,3232,688613,1999,-423.8636478,-531.6876464,-422.7372614,-531.8200867,-720.6356187,296.7719708,263.6331334,188.9479723,110.6746312,297.8983573,188.815532,-714.468327,-720.6356187,42.21722278,32.51346092,41.90707587,32.32473048,40.35694406,5934,3083,5865,3061,7186,1999,-671.5913082,-686.9970209,-671.0941948,-686.8790018,-714.699057,43.10774885,50.81569703,27.70203607,26.03469242,43.60486218,27.82005515,-974.0897897,-714.699057,49.50393211,47.22046025,49.45558134,47.2480333,47.82792787,565473,348031,557277,347155,548427,1999,866.9052722,783.3565404,263.6331334,50.81569703,713.6013602,676.4124327,296.7719708,43.10774885,415.9023728,246.0916131,110.6746312,26.03469242,314.2369256,297.1631235,188.9479723,27.70203607,678.852761,659.9383244,297.8983573,43.60486218,1999,6.93825091,6.899077649,4.112873671,4.030371889,7367,688613,7186,548427,1999,-643.8989268,-720.6356187,171031,-714.699057,721430
2000,121.4083202,-224.8539991,141.8603978,-221.899304,-662.474122,783.8824422,963.0479471,437.6201229,421.5343509,804.3345198,440.574818,-91.64605361,-662.474122,0.966274518,0.885841658,0.964545612,0.886830719,0.966731404,7519,291,6628,284,7028,2000,128.3166278,-339.8850033,102.2620599,-341.057302,-662.474122,790.7907499,771.02689,322.5891187,278.7126586,764.7361819,321.41682,-307.1445597,-662.474122,0.973427462,0.838961615,0.968107928,0.839222825,0.964480757,1000721,3121,739901,3102,723090,2000,-299.0224675,-418.7214577,-297.2500281,-417.4978445,-662.474122,363.4516545,292.4781673,243.7526644,147.4110274,365.224094,244.9762775,-624.7398804,-662.474122,42.60379536,30.6058375,42.03310997,30.36672867,41.14231052,7799,3803,7611,3763,6795,2000,-608.108921,-620.2702818,-607.2135386,-620.0644838,-645.6881718,37.57925078,48.3901318,25.4178899,24.75310549,38.47463321,25.62368796,-894.6326996,-645.6881718,49.61152361,47.22307383,49.5107139,47.27807771,48.15701109,592592,363234,576681,361381,551184,2000,963.0479471,771.02689,292.4781673,48.3901318,783.8824422,790.7907499,363.4516545,37.57925078,421.5343509,278.7126586,147.4110274,24.75310549,437.6201229,322.5891187,243.7526644,25.4178899,804.3345198,764.7361819,365.224094,38.47463321,2000,6.637548759,6.79240508,4.112656818,4.015658696,7028,723090,6795,551184,2000,-573.4966156,-662.474122,165477,-645.6881718,757295
